Started at: Thu Oct 30 04:32:23 PM SAST 2025
LETS COOOK IT UPPP

======================================================================
NO EXISTING MODEL FOUND - STARTING FRESH TRAINING
======================================================================

Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Wrapping the env in a VecTransposeImage.

======================================================================
STARTING NEW TRAINING
Target total: 1,000,000 steps
======================================================================

Logging to ./PPO_crafter_tensorboard/PPO_14
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 150      |
|    ep_rew_mean     | 1.1      |
| time/              |          |
|    fps             | 98       |
|    iterations      | 1        |
|    time_elapsed    | 20       |
|    total_timesteps | 2048     |
---------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 163        |
|    ep_rew_mean          | 1.42       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 2          |
|    time_elapsed         | 41         |
|    total_timesteps      | 4096       |
| train/                  |            |
|    approx_kl            | 0.02135817 |
|    clip_fraction        | 0.148      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.82      |
|    explained_variance   | -0.067     |
|    learning_rate        | 0.0003     |
|    loss                 | -0.026     |
|    n_updates            | 10         |
|    policy_gradient_loss | -0.0278    |
|    value_loss           | 0.0632     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 163         |
|    ep_rew_mean          | 1.51        |
| time/                   |             |
|    fps                  | 97          |
|    iterations           | 3           |
|    time_elapsed         | 63          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.021204304 |
|    clip_fraction        | 0.18        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.414       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0532     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0348     |
|    value_loss           | 0.063       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 170         |
|    ep_rew_mean          | 1.52        |
| time/                   |             |
|    fps                  | 98          |
|    iterations           | 4           |
|    time_elapsed         | 83          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.019948365 |
|    clip_fraction        | 0.253       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.78       |
|    explained_variance   | 0.494       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0742     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0402     |
|    value_loss           | 0.0658      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 171         |
|    ep_rew_mean          | 1.63        |
| time/                   |             |
|    fps                  | 99          |
|    iterations           | 5           |
|    time_elapsed         | 103         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.022649786 |
|    clip_fraction        | 0.27        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.77       |
|    explained_variance   | 0.664       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0796     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0423     |
|    value_loss           | 0.0562      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 173         |
|    ep_rew_mean          | 1.66        |
| time/                   |             |
|    fps                  | 99          |
|    iterations           | 6           |
|    time_elapsed         | 123         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.026503142 |
|    clip_fraction        | 0.291       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.638       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0939     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0521     |
|    value_loss           | 0.0546      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 168        |
|    ep_rew_mean          | 1.71       |
| time/                   |            |
|    fps                  | 97         |
|    iterations           | 7          |
|    time_elapsed         | 147        |
|    total_timesteps      | 14336      |
| train/                  |            |
|    approx_kl            | 0.03063422 |
|    clip_fraction        | 0.331      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.71      |
|    explained_variance   | 0.686      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.107     |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.058     |
|    value_loss           | 0.0488     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 167         |
|    ep_rew_mean          | 1.65        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 8           |
|    time_elapsed         | 169         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.032514572 |
|    clip_fraction        | 0.305       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.632       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0816     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0538     |
|    value_loss           | 0.0887      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 167        |
|    ep_rew_mean          | 1.7        |
| time/                   |            |
|    fps                  | 96         |
|    iterations           | 9          |
|    time_elapsed         | 190        |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.03523684 |
|    clip_fraction        | 0.352      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.7       |
|    explained_variance   | 0.639      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.12      |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.0628    |
|    value_loss           | 0.0497     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 1.76        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 10          |
|    time_elapsed         | 212         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.041683696 |
|    clip_fraction        | 0.412       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.62       |
|    explained_variance   | 0.501       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.101      |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.063      |
|    value_loss           | 0.0607      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 1.84        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 11          |
|    time_elapsed         | 234         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.042459924 |
|    clip_fraction        | 0.421       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.62       |
|    explained_variance   | 0.549       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0868     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0654     |
|    value_loss           | 0.0739      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 165         |
|    ep_rew_mean          | 1.93        |
| time/                   |             |
|    fps                  | 96          |
|    iterations           | 12          |
|    time_elapsed         | 254         |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.042429835 |
|    clip_fraction        | 0.409       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.59       |
|    explained_variance   | 0.57        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.133      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0731     |
